id,observed_on,latitude,longitude,species,life_history,year,month,doy,winter.year,winter.month,winter.day,year.factor,res,winter.year.prism,tmean_1,tmean_2,tmean_3,tmean_4,tmean_5,tmean_6,tmean_7,tmean_8,tmean_9,tmean_10,tmean_11,tmean_12,ppt_1,ppt_2,ppt_3,ppt_4,ppt_5,ppt_6,ppt_7,ppt_8,ppt_9,ppt_10,ppt_11,ppt_12,precip,temp,elevation
9375178,2018-01-05,47.6513452681,-122.3538626659,Brassica rapa,annual,2018,1,5,2018,5,125,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,923.5290112495422,9.391333685980904,53
9460185,2018-01-13,45.3851788771,-122.4199261611,Geranium lucidum,annual,2018,1,13,2018,5,133,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,1091.6299953460693,10.498222827911377,96
9474509,2018-01-14,45.3595885076,-122.6159328596,Geranium lucidum,annual,2018,1,14,2018,5,134,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,1075.9160151481628,10.568778355916342,87
10044673,2018-03-01,45.3739,-122.6097716667,Brassica rapa,annual,2018,3,60,2018,7,180,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,1075.9160151481628,10.568778355916342,35
10047758,2018-03-01,45.6695444038,-122.7604843946,Brassica rapa,annual,2018,3,60,2018,7,180,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,889.3669857978821,9.956889311472574,9
10251107,2018-03-15,44.1043962865,-123.1217007526,Brassica rapa,annual,2018,3,74,2018,7,194,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,828.9609966278076,9.101667086283365,119
10514399,2018-03-18,44.0215388333,-123.1590805,Adelinia grandis,perennial,2018,3,77,2018,7,197,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,803.7799959182739,9.095667123794556,216
10335781,2018-03-20,44.6053866667,-123.1264333333,Adelinia grandis,perennial,2018,3,79,2018,7,199,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,892.8619980812073,9.531000481711494,65
10361308,2018-03-22,45.570045,-122.554695,Brassica rapa,annual,2018,3,81,2018,7,201,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,892.4859976768494,10.308555973900688,10
10423225,2018-03-25,45.7332724209,-122.6336122826,Brassica rapa,annual,2018,3,84,2018,7,204,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,965.0120024681091,9.08488941192627,70
10426898,2018-03-25,44.004575,-122.9812616667,Ranunculus occidentalis,perennial,2018,3,84,2018,7,204,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,843.757999420166,9.445222642686632,195
10428714,2018-03-25,48.3536588889,-122.4729397222,Lomatium utriculatum,perennial,2018,3,84,2018,7,204,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,755.2760000228882,8.5990003479851609,7
10440642,2018-03-26,45.4879981126,-122.5841395654,Brassica rapa,annual,2018,3,85,2018,7,205,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,952.4169878959656,10.216111607021755,84
37620586,2018-03-26,43.8845959221,-123.1209288919,Adelinia grandis,perennial,2018,3,85,2018,7,205,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,981.8879947662354,8.875444968541464,360
10508291,2018-03-27,45.3614783333,-122.617615,Collinsia grandiflora,annual,2018,3,86,2018,7,206,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,1075.9160151481628,10.568778355916342,87
153749544,2018-03-29,44.0023126926,-122.9676582763,Plagiobothrys nothofulvus,annual,2018,3,88,2018,7,208,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,876.0649976730347,9.25077814526028,205
153749550,2018-03-29,44.001816139,-122.9676889173,Lomatium utriculatum,perennial,2018,3,88,2018,7,208,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,876.0649976730347,9.25077814526028,205
35439100,2018-03-29,44.0119197308,-122.9699525794,Adelinia grandis,perennial,2018,3,88,2018,7,208,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,876.0649976730347,9.25077814526028,204
153749545,2018-03-29,44.0024689797,-122.9679291375,Geranium lucidum,annual,2018,3,88,2018,7,208,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,876.0649976730347,9.25077814526028,205
10521634,2018-03-30,46.82898582,-123.01564127,Lomatium utriculatum,perennial,2018,3,89,2018,7,209,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,1191.195998430252,8.534444808959961,64
10533313,2018-03-31,44.59875,-123.1198583333,Camassia leichtlinii,perennial,2018,3,90,2018,7,210,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,853.6949992179871,9.520889255735609,65
10529383,2018-03-31,48.49221433,-122.69203891,Lomatium utriculatum,perennial,2018,3,90,2018,7,210,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,695.5760040283203,8.805778291490343,-4
10529795,2018-03-31,48.49155179,-122.6940568,Ranunculus occidentalis,perennial,2018,3,90,2018,7,210,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,695.5760040283203,8.805778291490343,-4
10530378,2018-03-31,45.4207521512,-122.5516630399,Adelinia grandis,perennial,2018,3,90,2018,7,210,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,1015.1909837722778,10.558889442019993,94
10627104,2018-03-31,44.00713055,-122.98095000000001,Camassia leichtlinii,perennial,2018,3,90,2018,7,210,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,843.757999420166,9.445222642686632,192
10603038,2018-04-02,44.9673156462,-123.2583629162,Geranium lucidum,annual,2018,4,92,2018,8,212,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,1021.7139964103699,9.64322272936503,82
10573041,2018-04-02,44.0291359742,-123.0852926151,Ranunculus occidentalis,perennial,2018,4,92,2018,8,212,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,793.7810072898865,9.133555915620592,162
10608191,2018-04-03,44.55495211,-123.27065503,Camassia leichtlinii,perennial,2018,4,93,2018,8,213,2018,4kmM3,2018,,,,,,,,,,,,,,,,,,,,,,,,,809.2680087089539,9.424111631181505,71
