This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"AKR02","AKRON",-103.1420,40.1548,1383,"COAGMET","171654"
"BRG01","BRIGGSDALE",-104.3190,40.5947,1481,"COAGMET","171655"
"BRL02","BURLINGTON S",-102.1090,39.2651,1271,"COAGMET","171658"
"CNN01","CANON CITY",-105.1780,38.4319,1607,"COAGMET","171661"
"COW01","COWDREY",-106.3360,40.8659,2406,"COAGMET","171662"
"CTR01","CENTER",-106.1440,37.7067,2348,"COAGMET","171663"
"CTR02","CENTER #2",-106.0380,37.8288,2319,"COAGMET","171664"
"CTZ01","CORTEZ",-108.6730,37.2248,1833,"COAGMET","171665"
"DVC01","DOVE CREEK",-108.9540,37.7265,2010,"COAGMET","171667"
"EAC01","EASTERN ADAM",-103.7980,39.7857,1496,"COAGMET","171668"
"FTC01","FORT COLLINS",-105.1370,40.5947,1561,"COAGMET","171671"
"FTC03","CSU - ARDEC",-105.0000,40.6525,1558,"COAGMET","171672"
"FWL01","FOWLER",-104.0320,38.1351,1321,"COAGMET","171675"
"GLY04","GREELEY 4",-104.6380,40.4487,1427,"COAGMET","171678"
"HEB01","HEBRON",-106.3880,40.5455,2490,"COAGMET","171679"
"HLY01","HOLLY",-102.0900,38.0700,1108,"COAGMET","171680"
"HLY02","HOLLY #2",-102.2410,38.1361,1088,"COAGMET","171681"
"HNE01","HOEHNE",-104.3130,37.2893,1715,"COAGMET","171682"
"HXT01","HAXTUN",-102.6470,40.6722,1231,"COAGMET","171685"
"HYK02","HOLYOKE",-102.0890,40.4909,1138,"COAGMET","171687"
"IDL01","IDALIA",-102.3020,39.7312,1212,"COAGMET","171688"
"ILF01","ILIFF",-103.0450,40.7678,1165,"COAGMET","171689"
"JFN01","JEFFERSON",-105.8110,39.3542,2883,"COAGMET","171690"
"KRK01","KIRK",-102.6210,39.6554,1284,"COAGMET","171691"
"KSY01","KERSEY 1",-104.5320,40.3768,1410,"COAGMET","171692"
"LAM01","LAMAR #1",-102.5960,37.9807,1151,"COAGMET","171693"
"LAM03","LAMAR #3",-102.7130,37.9798,1194,"COAGMET","171695"
"LAM04","LAMAR #4",-102.5990,38.1539,1129,"COAGMET","171696"
"LAR01","LARAND",-106.3000,40.6126,2515,"COAGMET","171697"
"LJR01","LAJARA",-105.9720,37.2443,2315,"COAGMET","171699"
"LJT01","LAJUNTA",-103.3660,38.0778,1207,"COAGMET","171700"
"MCL01","MCCLAVE",-102.8590,38.1478,1187,"COAGMET","171701"
"LSL01","LA SALLE",-104.6300,40.3349,1425,"COAGMET","171702"
"MNC01","MANCOS",-108.3380,37.3220,2051,"COAGMET","171703"
"OTH01","OLATHE",-108.0500,38.6351,1623,"COAGMET","171705"
"PAI01","PAOLI",-102.4750,40.4248,1181,"COAGMET","171707"
"PKH01","PECKHAM",-104.7270,40.3125,1433,"COAGMET","171710"
"PNR01","PENROSE",-104.9980,38.4119,1625,"COAGMET","171711"
"RFD01","CSU EXPT STN",-103.6950,38.0385,1274,"COAGMET","171713"
"SAN01","SAN ACACIO",-105.6110,37.1417,2363,"COAGMET","171715"
